id,audio_path,speaker,language,text,status,transcript_verified,notes
busan_001,recordings/raw/busan_001.wav,busan_user,ko,오늘 아침에는 창문을 열고 시원한 바람을 쐬었어요.,pending,false,
busan_002,recordings/raw/busan_002.wav,busan_user,ko,따뜻한 물 한 잔 마시고 천천히 하루를 시작해요.,pending,false,
busan_003,recordings/raw/busan_003.wav,busan_user,ko,밥은 드셨어요? 아직 안 드셨으면 저하고 같이 먹어요.,pending,false,
busan_004,recordings/raw/busan_004.wav,busan_user,ko,시장에 갔더니 싱싱한 고등어하고 무가 많이 나왔더라고요.,pending,false,
busan_005,recordings/raw/busan_005.wav,busan_user,ko,국이 조금 뜨거우니까 한 숟가락씩 천천히 드세요.,pending,false,
busan_006,recordings/raw/busan_006.wav,busan_user,ko,이 반찬은 짜지 않아서 밥하고 같이 먹기 좋겠네요.,pending,false,
busan_007,recordings/raw/busan_007.wav,busan_user,ko,점심 먹고 나면 동네 공원에 잠깐 걸으러 갈까요?,pending,false,
busan_008,recordings/raw/busan_008.wav,busan_user,ko,급하게 준비하지 않으셔도 돼요. 제가 여기서 기다릴게요.,pending,false,
busan_009,recordings/raw/busan_009.wav,busan_user,ko,"신발은 편한 걸로 신고, 겉옷도 하나 챙겨 가세요.",pending,false,
busan_010,recordings/raw/busan_010.wav,busan_user,ko,오늘은 하늘이 맑아 보여도 실제 날씨는 한번 확인해 봐야겠어요.,pending,false,
busan_011,recordings/raw/busan_011.wav,busan_user,ko,버스 정류장은 이 골목을 지나서 오른쪽에 있어요.,pending,false,
busan_012,recordings/raw/busan_012.wav,busan_user,ko,지하철을 타고 서면에서 내려서 친구를 만나기로 했어요.,pending,false,
busan_013,recordings/raw/busan_013.wav,busan_user,ko,부산역 앞에서 기다릴 테니까 도착하면 전화해 주세요.,pending,false,
busan_014,recordings/raw/busan_014.wav,busan_user,ko,광안리 바닷가를 걸으니 마음이 한결 편안해지더라고요.,pending,false,
busan_015,recordings/raw/busan_015.wav,busan_user,ko,영도에 사는 친구가 주말에 한번 놀러 오라고 했어요.,pending,false,
busan_016,recordings/raw/busan_016.wav,busan_user,ko,해운대는 사람이 많으니까 서로 떨어지지 않게 같이 가요.,pending,false,
