id,style,language,text
standard_01,standard,ko,식사하셨어요? 아직 안 드셨으면 같이 드세요.
busan_01,busan,ko,밥 드셨어요? 아직 안 드셨으면 같이 드이소.
standard_02,standard,ko,천천히 말씀해 주세요. 제가 듣고 있어요.
busan_02,busan,ko,천천히 말씀해 주이소. 제가 듣고 있어요.
standard_03,standard,ko,지금은 서두르지 마세요. 시간이 충분해요.
busan_03,busan,ko,지금은 서두르지 마이소. 시간이 충분해요.
standard_04,standard,ko,가방 안에 지갑이 있는지 확인해 보세요.
busan_04,busan,ko,가방 안에 지갑이 있는지 확인해 보이소.
standard_05,standard,ko,따뜻한 국이 참 맛있겠네요.
busan_05,busan,ko,따뜻한 국이 참 맛있겠네예.
standard_06,standard,ko,내일 오후 두 시에 만나기로 했지요?
busan_06,busan,ko,내일 오후 두 시에 만나기로 했지예?
standard_07,standard,ko,이 길로 가면 공원이 나오는 게 맞지요?
busan_07,busan,ko,이 길로 가면 공원이 나오는 게 맞지예?
standard_08,standard,ko,필요한 게 있으면 말씀해 주세요.
busan_08,busan,ko,필요한 게 있으면 말씀해 주이소.
standard_09,standard,ko,몸이 불편하시면 무리하지 마세요.
busan_09,busan,ko,몸이 불편하시면 무리하지 마이소.
standard_10,standard,ko,준비됐으면 같이 출발합시다.
busan_10,busan,ko,준비됐으면 같이 출발하입시다.
