id,category,question,standard_answer,action
gs_p100_007,single_turn_general,"저기예, 빨래에서 냄새가 나는데 어떻게 해결하나요?",세탁이 끝난 빨래는 바로 꺼내 햇볕에 말려주시는 것이 가장 좋습니다. 빨래를 너무 많이 넣거나 세제를 적게 사용해도 냄새가 날 수 있으니 확인해 보세요. 그래도 냄새가 계속된다면 시중에서 파는 세탁조 클리너로 세탁기를 청소해 주시면 큰 도움이 됩니다.,후보 3개 모두 재생성
gs_p100_015,single_turn_general,모르는 번호로 온 문자 링크를 눌러도 되나요?,"아니요, 누르시면 안 됩니다. 모르는 번호로 온 문자 메시지의 인터넷 주소(링크)는 악성 앱을 설치하게 만들어 개인정보를 빼 가거나 돈을 요구할 수 있습니다. 의심스러운 문자는 절대 누르지 마시고 바로 삭제하시는 것이 가장 안전합니다.",후보 3개 모두 재생성
gs_p100_022,single_turn_general,비 오는 날 집에서 할 만한 취미를 추천해 주세요.,"비 오는 날에는 잔잔한 음악을 들으며 따뜻한 차를 드시거나, 평소 읽고 싶었던 책을 읽어보시는 건 어떠세요? 가벼운 실내 체조로 몸을 풀어주시는 것도 활기찬 하루를 보내는 데 도움이 됩니다.",후보 3개 모두 재생성
gs_p100_033,single_turn_general,동네 모임에 처음 가는데 어떤 이야기를 꺼내면 좋을까요?,새로운 모임에 가시는군요. 가벼운 자기소개 후에 동네 맛집이나 즐겨 보시는 TV 프로그램 같은 소소한 주제로 대화를 시작해 보세요. 다른 분들의 이야기에 귀 기울이고 공감해 주시면 더욱 화기애애한 분위기가 될 겁니다.,후보 3개 모두 재생성
gs_p100_036,single_turn_emotion_relationship,요즘 별일이 없는데도 마음이 자꾸 불안해요.,"별다른 일 없이 마음이 불안하시면 더 힘드시겠어요. 그럴 때는 따뜻한 차를 한 잔 마시며 천천히 숨을 고르거나, 좋아하시는 잔잔한 노래를 들어보시는 건 어떠세요?",후보 3개 모두 재생성
gs_p100_038,single_turn_emotion_relationship,"있잖아예, 친구가 제 말을 오해한 것 같아요. 어떻게 풀까요?","친구분께서 어르신 말씀을 오해하셨다니 속상하시겠어요. 가장 좋은 방법은 직접 만나거나 전화해서 어르신의 진심을 차분히 설명하는 것입니다. '내 본심은 그게 아니었는데, 오해하게 해서 미안하다'고 먼저 마음을 풀어주시면 친구분도 금방 이해해 주실 거예요.",후보 3개 모두 재생성
gs_p100_039,single_turn_emotion_relationship,그라모 가족에게 서운한데 감정적으로 말할까 봐 걱정돼요.,"가족에게 서운한 마음이 드는데, 혹시 감정적으로 이야기하게 될까 봐 걱정되시는군요. 대화하시기 전에 종이에 하고 싶은 말을 차분히 적어보시면 생각을 정리하는 데 도움이 될 수 있습니다. 그리고 '나는 이래서 서운했어' 하고 어르신의 감정을 먼저 말씀하시면, 가족들도 마음을 더 잘 이해해 줄 거예요.",후보 3개 모두 재생성
gs_p100_042,single_turn_emotion_relationship,요즘 아무것도 하기 싫고 의욕이 없어요.,"어르신, 몸과 마음이 지치면 누구나 그럴 수 있습니다. 이럴 때일수록 잠시 쉬어가시는 게 중요해요. 좋아하시는 잔잔한 음악을 듣거나 따뜻한 차 한 잔을 마시며 기분을 달래보는 건 어떠세요?",후보 3개 모두 재생성
gs_p100_045,single_turn_emotion_relationship,다른 사람과 자꾸 비교하게 돼서 속상해요.,"남들과 비교하는 마음이 들면 속상하고 마음이 참 힘드시지요. 그럴 때는 잠시 밖으로 나가 가볍게 산책하며 하늘을 보시거나, 좋아하시는 노래를 들어보시는 건 어떨까요? 기분 전환에 도움이 될 수 있습니다.",후보 3개 모두 재생성
gs_p100_060,sensor_uncertainty,어... 오늘 우리 동네에 비가 왔나요,제가 어르신 동네의 날씨는 정확히 알 수 없어서요. 창밖을 확인해 보시거나 텔레비전 일기예보를 참고하시면 가장 정확하게 아실 수 있습니다.,후보 3개 모두 재생성
gs_p100_066,multi_turn_context,한 시간은 무리일 것 같아요. 짧게 계획해 주세요.,"네, 알겠습니다. 가볍게 5분 정도 제자리걸음으로 몸을 푸신 후에, 20분 정도 천천히 걸어보시는 건 어떠세요? 힘드시면 중간에 잠시 쉬시고, 다녀와서는 마무리 스트레칭으로 근육을 풀어주시면 좋습니다.",후보 3개 모두 재생성
gs_p100_070,multi_turn_context,어... 네 명이 오는데 간단한 점심 메뉴를 추천해 주세요.,가족분들과 함께 드시기 좋은 메뉴로는 불고기나 잡채가 어떨까요? 많은 분들이 좋아하고 미리 준비해두기 편해서 손님맞이 음식으로 인기가 많습니다. 따뜻한 된장찌개를 곁들이면 더욱 든든한 한 끼 식사가 될 거예요.,후보 3개 모두 재생성
gs_p100_075,multi_turn_context,된장찌개 재료와 과일을 사려는데 목록을 만들어 주세요.,"네, 된장찌개와 과일 장보기 목록을 준비해 드릴게요. 된장찌개용으로는 된장, 두부, 애호박, 양파, 감자, 대파, 청양고추, 멸치나 다시마가 필요해요. 과일은 요즘 제철인 참외나 수박, 또는 좋아하시는 사과나 바나나를 담아보시는 건 어떠세요?",후보 3개 모두 재생성
