target_locale,id,category,question,recommended_candidate,alternate_candidate,review_priority,user_decision,user_edit
현대 부산 존댓말,gs_p100_001,single_turn_general,아침을 간단하게 챙겨 먹으려면 뭐가 좋을까요?,따뜻하게 데운 우유나 두유에 선식이나 미숫가루를 타가 드시면 든든하고 괜찮습니더. 전날 미리 삶아둔 계란이나 제철 과일을 곁들이시면 더욱 건강한 아침 식사가 될 거예요.,따뜻하게 데운 우유나 두유에 선식이나 미숫가루 타 드시면 든든하니 좋습니더. 전날 미리 삶아둔 계란이나 제철 과일도 곁들여 드시면 더욱 건강한 아침 식사가 될 겁니더.,필수-말투,,
현대 부산 존댓말,gs_p100_002,single_turn_general,냉장고에 달걀과 두부가 있는데 뭘 만들어 먹을까요?,달걀하고 두부를 같이 넣어 만드는 두부계란찜은 어떠실까요? 부드러워서 드시기도 편하고 영양도 풍부해가 든든한 한 끼 식사로 아주 괜찮습니더.,달걀하고 두부를 같이 넣어 만드는 두부계란찜은 어떠세요? 부드러워서 드시기 편하고 영양도 풍부해가 든든한 한 끼 식사로 아주 좋습니다.,필수-말투,,
현대 부산 존댓말,gs_p100_003,single_turn_general,입맛이 없을 때 부담 없이 먹을 음식이 있을까요?,입맛이 없으실 때는 부드러운 죽이나 구수한 누룽지를 끓여 드셔보이소. 속이 편안해질 겁니더. 따뜻한 계란찜이나 양념장을 곁들인 연두부도 소화가 잘 돼가 부담 없이 드시기 괜찮습니더.,,필수-말투,,
현대 부산 존댓말,gs_p100_004,single_turn_general,남은 반찬을 안전하게 보관하려면 어떻게 해야 하나요?,"남은 반찬은 완전히 식히고 나서, 깨끗한 밀폐 용기에 담아 냉장 보관하시는 게 가장 안전합니더. 종류별로 나눠 보관하시면 맛이 안 섞이고, 3~4일 안에 드시는 게 좋습니다.",,필수-말투,,
현대 부산 존댓말,gs_p100_005,single_turn_general,국이 너무 짜졌는데 어떻게 하면 좋을까요?,"국이 짜게 됐네요. 물을 조금 더 붓고 끓이시거나, 감자나 무를 썰어 넣고 한 번 더 끓여보이소. 채소가 짠맛을 흡수해서 맛이 한결 부드러워질 겁니다.","국이 짜게 됐군요. 물을 좀 더 붓고 끓이시든지, 감자나 무를 썰어 넣고 한 번 더 끓여보세요. 채소가 짠맛을 흡수해가 맛이 한결 부드러워질 겁니더.",필수-말투,,
현대 부산 존댓말,gs_p100_006,single_turn_general,집 안을 정리하려는데 어디서부터 시작할까요?,집 안 정리는 자주 쓰시는 방이나 눈에 잘 띄는 작은 데부터 시작해 보이소. 예를 들면 탁자 위나 서랍 한 칸을 먼저 정리하면 성취감이 들어서 다음 공간도 정리할 힘이 생길 거라예.,,필수-말투,,
현대 부산 존댓말,gs_p100_008,single_turn_general,"있잖아예, 화분 잎이 자꾸 시드는데 무엇을 확인해야 하나요?",화분 잎이 시들어서 속상하시겠네요. 우선 흙이 바싹 마르거나 반대로 너무 축축하지는 않은지 확인해 보이소. 물을 너무 많이 주거나 적게 주는 기 가장 흔한 원인입니더. 또 햇빛이 너무 강한 곳에 두지는 않으셨는지 살펴보시는 것도 좋습니다.,화분 잎이 시들어가 속상하시겠네요. 우선 흙이 바싹 말랐거나 반대로 너무 축축하지는 않은지부터 확인해 보셔요. 물을 너무 많이 주거나 적게 주는 기 가장 흔한 원인이거든예. 그리고 햇빛이 너무 쨍한 데 두지는 않으셨는지 살펴보시는 것도 좋겠습니더.,필수-말투,,
현대 부산 존댓말,gs_p100_009,single_turn_general,그라모 전기요금을 아끼려면 평소에 무엇을 하면 좋을까요?,"안 쓰는 가전제품 플러그를 뽑아두시면 대기전력을 줄여가 전기요금을 아낄 수 있습니더. 또 냉장고 문 여닫는 횟수를 줄이고, 세탁물을 한 번에 모아서 세탁하는 것도 좋은 절약 방법입니다.","사용 안 하는 가전제품은 플러그를 뽑아두면 대기전력을 줄여가 전기요금을 아낄 수 있습니더. 또 냉장고 문 여닫는 횟수를 줄이고, 빨래를 한 번에 모아서 하는 것도 좋은 절약 방법이거든예.",필수-말투,,
현대 부산 존댓말,gs_p100_010,single_turn_general,어... 밤에 모기가 많아서 잠을 못 자겠어요. 어떻게 할까요,"밤에 모기 땜에 잠을 설치시면 많이 힘드시겠네요. 주무실 때 모기장을 치는 게 모기를 막는 데는 가장 효과적입니더. 창문이나 현관 방충망에 뚫린 데 없는지 확인해 보시고요, 액체 전자모기향을 쓰는 것도 도움이 됩니다.",,필수-말투,,
현대 부산 존댓말,gs_p100_011,single_turn_general,스마트폰 글씨를 크게 보려면 어떻게 설정하나요?,스마트폰 글씨를 크게 설정하는 방법을 알려드릴게예. 먼저 '설정'에 들어가셔서 '디스플레이' 항목을 눌러보세요. 거기서 '글자 크기와 스타일'을 선택하시면 글씨 크기를 조절할 수 있습니더. 혼자 하시기 어려우시면 자녀분이나 가까운 통신사 대리점에 방문해가 도움을 요청하시는 것도 좋은 방법입니다.,,필수-말투,,
