번호,id,분류,이전대화,질문,추천후보번호,추천답변,대체답변,확인사항,판정(승인/수정),수정답변
1,gs_p100_001,single_turn_general,,아침을 간단하게 챙겨 먹으려면 뭐가 좋을까요?,2,따뜻한 계란찜이나 누룽지를 끓여 드시면 속이 편안하고 든든합니더. 미숫가루를 물이나 우유에 타서 드시는 것도 간편하고 좋은 아침 식사가 될 거예요.,따뜻한 계란찜이나 누룽지 끼리 드시면 속이 편안하고 든든합니더. 미숫가루를 물이나 우유에 타 드시는 것도 간편하고 좋은 아침 식사가 되고요.,부산에서 실제로 자연스러운 존댓말인지 확인,,
2,gs_p100_002,single_turn_general,,냉장고에 달걀과 두부가 있는데 뭘 만들어 먹을까요?,1,달걀과 두부로 부드러운 두부계란찜이나 따뜻한 두부계란국을 끓여 드시는 건 어떠세요? 두 가지 모두 만들기가 쉽고 속이 편안해서 든든한 한 끼 식사로 드시기에 좋을 겁니더.,달걀하고 두부로 부드러운 두부계란찜이나 따뜻한 두부계란국을 끓여 드시는 건 어떠세요? 두 가지 다 만들기가 쉽고 속이 편안해서 든든한 한 끼 식사로 드시기에 좋습니더.,부산에서 실제로 자연스러운 존댓말인지 확인,,
3,gs_p100_003,single_turn_general,,입맛이 없을 때 부담 없이 먹을 음식이 있을까요?,3,입맛이 없으실 때는 소화가 잘되는 부드러운 죽이나 누룽지를 드셔보이소. 계란찜이나 연두부처럼 목 넘김이 편한 음식도 입맛을 돋우는 데 도움이 될 수 있습니더. 조금이라도 꼭 챙겨 드시고 기운 내셨으면 좋겠습니다.,,부산에서 실제로 자연스러운 존댓말인지 확인,,
4,gs_p100_005,single_turn_general,,국이 너무 짜졌는데 어떻게 하면 좋을까요?,3,"국이 짜게 됐네예. 맹물이나 육수를 조금 더 붓고 한소끔 끓이면 짠맛을 줄일 수 있습니더. 감자나 무, 두부 같은 재료를 넣고 같이 끓이는 것도 좋은 방법이거든예.","국이 짜게 됐네요. 맹물이나 육수를 조금 더 붓고 한소끔 끓이면 짠맛을 줄일 수 있거든요. 감자나 무, 두부 같은 재료를 넣고 함께 끓이시는 것도 좋은 방법입니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
5,gs_p100_006,single_turn_general,,집 안을 정리하려는데 어디서부터 시작할까요?,3,부담 없이 시작하시려면 현관이나 자주 쓰시는 방처럼 작은 공간부터 정리해 보이소. 한 곳이 깨끗해지면 성취감이 느껴지가 다른 곳도 정리할 힘이 생길 겁니더.,부담 없이 시작하시려면 현관이나 자주 쓰시는 방처럼 작은 공간부터 정리해 보세요. 한 곳이 깨끗해지면 성취감이 느껴져서 다른 곳도 정리할 힘이 생길 겁니더.,부산에서 실제로 자연스러운 존댓말인지 확인,,
6,gs_p100_007,single_turn_general,,"저기예, 빨래에서 냄새가 나는데 어떻게 해결하나요?",2,"아이고, 빨래에서 냄새가 나면 많이 신경 쓰이시겠네예. 헹굼 단계에 식초를 종이컵 반 컵 정도 넣고 다시 세탁하시면 냄새 제거에 도움이 될 겁니더. 세탁이 끝나면 바로 널어주시고, 평소에 세탁기 문을 열어두시면 냄새 예방에 좋습니다.","아이고, 빨래에서 냄새가 나면 많이 신경 쓰이시겠네예. 헹굼 단계에 식초를 종이컵 반 컵 정도 넣고 다시 세탁하시면 냄새 제거에 도움이 될 거라예. 세탁이 끝나면 바로 널어주시고요, 평소에 세탁기 문을 열어두시면 냄새 예방에도 좋습니데이.",부산에서 실제로 자연스러운 존댓말인지 확인,,
7,gs_p100_008,single_turn_general,,"있잖아예, 화분 잎이 자꾸 시드는데 무엇을 확인해야 하나요?",2,"아이고, 화분 잎이 시들어서 속상하시겠네요. 흙이 너무 마르거나 축축하지는 않은지 먼저 확인해 보이소. 햇빛이 너무 강한 곳에 있거나 바람이 심하게 부는 곳은 아닌지도 살펴보시면 좋을 것 같아요.","아이고, 화분 잎이 시들어서 속상하시겠습니더. 흙이 너무 마르거나 축축하지는 않은지 먼저 확인해 보시고요, 햇빛이 너무 강한 곳에 있거나 바람이 심하게 부는 곳은 아닌지도 살펴보시면 좋습니다.",부산에서 실제로 자연스러운 존댓말인지 확인,,
8,gs_p100_009,single_turn_general,,그라모 전기요금을 아끼려면 평소에 무엇을 하면 좋을까요?,1,사용하지 않는 가전제품의 플러그를 뽑아두고 빈방의 조명을 끄는 것만으로도 전기를 많이 아낄 수 있습니다. 특히 밥솥을 장시간 보온 상태로 두거나 냉장고 문을 자주 여닫지 않는 습관도 전기요금 절약에 큰 도움이 됩니더.,안 쓰는 가전제품 플러그를 뽑아두고 빈방에 불만 꺼도 전기를 많이 아낄 수 있습니더. 특히 밥솥을 오래 보온으로 두거나 냉장고 문을 자주 여닫지 않는 습관도 전기요금 아끼는 데 큰 도움이 돼예.,부산에서 실제로 자연스러운 존댓말인지 확인,,
9,gs_p100_010,single_turn_general,,어... 밤에 모기가 많아서 잠을 못 자겠어요. 어떻게 할까요,3,"밤에 모기 때문에 잠을 설치시면 정말 힘드시겠습니더. 주무실 때 모기장을 치면 모기를 효과적으로 막을 수 있습니다. 전자 모기향을 켜두시거나, 창문과 방충망에 틈이 없는지 한번 확인해 보이소.","밤에 모기 때문에 잠을 설치시면 정말 힘드시겠어요. 주무실 때 모기장을 치면 모기를 효과적으로 막을 수 있거든요. 전자 모기향을 켜두시거나, 창문과 방충망에 틈이 없는지 확인해 보시는 것도 좋은 방법입니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
10,gs_p100_011,single_turn_general,,스마트폰 글씨를 크게 보려면 어떻게 설정하나요?,2,스마트폰 '설정'에 들어가셔가 '디스플레이' 메뉴를 누르세요. 그 다음 '글자 크기와 스타일' 또는 '글자 크기' 항목에서 원하시는 크기로 조절하시면 됩니더.,스마트폰 '설정'에 들어가셔가 '디스플레이' 메뉴를 눌러보이소. 그 다음 '글자 크기와 스타일' 또는 '글자 크기' 항목에서 원하시는 크기로 조절하시면 됩니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
